Index,Hz,Amp
725,1050.949000,15.791540
726,1052.399000,17.037560
727,1053.848000,18.723000
728,1055.298000,20.216720
729,1056.747000,19.800980
730,1058.197000,20.057220
731,1059.647000,18.477830
732,1061.096000,15.253720
733,1062.546000,12.959400
734,1063.995000,13.359460
735,1065.445000,13.608010
736,1066.895000,11.587270
737,1068.344000,15.090760
738,1069.794000,15.766780
739,1071.243000,18.965580
740,1072.693000,16.395690
741,1074.142000,15.930640
742,1075.592000,14.145920
743,1077.042000,12.843110
744,1078.491000,16.409520
745,1079.941000,14.684520
746,1081.390000,12.074630
747,1082.840000,14.736530
748,1084.290000,14.086830
749,1085.739000,14.316190
750,1087.189000,17.533640
751,1088.638000,19.612540
752,1090.088000,16.025330
753,1091.537000,18.060390
754,1092.987000,20.917560
755,1094.437000,16.650640
756,1095.886000,13.908630
757,1097.336000,14.193310
758,1098.785000,16.070470
759,1100.235000,16.693510
760,1101.685000,17.232700
761,1103.134000,17.934900
762,1104.584000,18.812330
763,1106.033000,18.608060
764,1107.483000,18.271720
765,1108.932000,17.914200
766,1110.382000,17.397590
767,1111.832000,18.002160
768,1113.281000,20.756690
769,1114.731000,18.701860
770,1116.180000,18.823550
771,1117.630000,19.441990
772,1119.080000,16.895810
773,1120.529000,17.558710
774,1121.979000,18.683920
775,1123.428000,15.792590
776,1124.878000,17.179890
777,1126.328000,19.160190
778,1127.777000,15.785080
779,1129.227000,16.407210
780,1130.676000,15.444140
781,1132.126000,17.085660
782,1133.575000,17.483820
783,1135.025000,15.821600
784,1136.475000,16.099150
785,1137.924000,17.761490
786,1139.374000,18.714090
787,1140.823000,17.419750
788,1142.273000,21.295420
789,1143.723000,21.663690
790,1145.172000,21.056040
791,1146.622000,23.430950
792,1148.071000,21.114140
793,1149.521000,21.312300
794,1150.970000,20.412250
795,1152.420000,17.730250
796,1153.870000,19.335620
797,1155.319000,19.319220
798,1156.769000,18.150540
799,1158.218000,17.623090
800,1159.668000,17.951300
801,1161.118000,18.949860
802,1162.567000,18.501490
803,1164.017000,18.580400
804,1165.466000,21.097390
805,1166.916000,20.630040
806,1168.365000,18.602550
807,1169.815000,16.703640
808,1171.265000,13.513600
809,1172.714000,15.155010
